Incident ID,Occurrence Time,Report Time,Type,Disposition,Address
2023-00010807,02/01/23 09:38,02/01/23 09:38,Disorderly Conduct,CBE,DOTS  Lot B  Lot RR  PG2  RDG  Regents Drive Parking Garage  WAM Lab at 8056  Regents  Dr College Park MD
2023-00010816,02/01/23 10:48,02/01/23 10:48,Trespassing,Arrest,Commons 4  SCC 4  South Campus Commons 4 at 4310  Knox  Rd College Park MD
2023-00010833,01/31/23 16:00,02/01/23 12:37,Theft,Active/Pending,Dairy  Stamp  Stamp Student Union  Student Union  Union at 3972  Campus  Dr College Park MD
2023-00010834,01/30/23 12:00,02/01/23 12:52,Theft,Investigation Pending,Tawes  Tawes Hall at 7751  Alumni  Dr College Park MD
2023-00010872,02/01/23 16:02,02/01/23 16:18,Theft,Arrest,Dairy  Stamp  Stamp Student Union  Student Union  Union at 3972  Campus  Dr College Park MD
2023-00010922,02/01/23 19:19,02/01/23 19:19,Emergency Petition,CBE,4300 block of  Hartwick  Rd College Park MD
2023-00011019,02/02/23 00:27,02/02/23 01:45,Emergency Petition,CBE,Computer Science Instructional Center  CSIC at 8169  Paint Branch  Dr College Park MD
2023-00011162,02/02/23 12:32,02/02/23 12:32,Emergency Petition,CBE,4100 block of  Campus  Dr College Park MD
2023-00011168,01/27/23 09:45,02/02/23 15:44,Injured/Sick Person,CBE,Union  Ln College Park MD
2023-00011179,02/02/23 16:48,02/02/23 16:48,Injured/Sick Person,CBE,4200 block of  Lehigh  Rd College Park MD
2023-00011196,02/01/23 18:30,02/02/23 18:46,Injured/Sick Person,CBE,Animal Science Building at 8127  Regents  Dr College Park MD
2023-00011217,02/02/23 19:57,02/02/23 19:57,Injured/Sick Person,CBE,68  Eppley  Eppley Recreation Center  ERC at 4128  Valley  Dr College Park MD
2023-00011370,02/03/23 02:24,02/03/23 02:24,DWI/DUI,Arrest,University  Blvd College Park MD
2023-00011503,01/12/23 16:00,02/03/23 10:54,Theft,Investigation Pending,8500 block of  Paint Branch  Dr College Park MD
2023-00011687,02/03/23 19:10,02/03/23 23:17,Title IX Incident Non Criminal,Active/Pending,35  McKeldin Library at 7649  Library  Ln College Park MD
2023-00011695,02/04/23 00:27,02/04/23 00:27,Injured/Sick Person,CBE,96  Cambridge  Cambridge Hall at 4230  Farm  Dr College Park MD
2023-00012032,02/05/23 00:08,02/05/23 00:08,Injured/Sick Person,CBE,Domain  Domain College Park  The Domain at 3711  Campus  Dr College Park MD
2023-00012059,02/05/23 01:30,02/05/23 01:30,DWI/DUI,Arrest,Guilford  Dr College Park MD
2023-00012071,02/05/23 03:19,02/05/23 03:19,CDS Violation,Arrest,Admissions Welcome Center at 7777  Baltimore  Ave College Park MD
2023-00012242,02/05/23 20:00,02/05/23 20:30,CDS Violation,CBE,6  Fraternity  Row College Park MD
2023-00012258,02/05/23 17:48,02/05/23 22:03,Trespassing,Active/Pending,Graduate Hills #290 at 3425  Tulane  Dr College Park MD
2023-00012308,02/05/23 18:30,02/06/23 01:19,Injured/Sick Person,CBE,Pyon Chen  Pyon-Chen Hall at 8097  La Plata  Dr College Park MD
2023-00012401,02/06/23 09:10,02/06/23 09:10,Injured/Sick Person,CBE,HHP  PERH  Public Health  School of Public Health Building  SPH at 4200  Valley  Dr College Park MD
2023-00012447,02/03/23 17:00,02/06/23 12:11,Vandalism,Active/Pending,Hagerstown Hall at 8075  Hagerstown  Dr College Park MD
2023-00012451,02/06/23 12:25,02/06/23 12:29,Injured/Sick Person,CBE,Health Center at 3983  Campus  Dr College Park MD
2023-00012550,02/06/23 17:56,02/06/23 17:56,Emergency Petition,CBE,4200 block of  Chapel  Ln College Park MD
2023-00012570,02/06/23 20:53,02/06/23 20:53,Injured/Sick Person,CBE,UMGC Hotel at 348  Ehrensberger  Dr College Park MD
2023-00012733,02/07/23 06:20,02/07/23 06:31,Assist Other Agency / Other,CBE,490 block of  / 198 College Park MD
2023-00012833,02/07/23 10:02,02/07/23 12:52,Theft,Summons Issued,Dairy  Stamp  Stamp Student Union  Student Union  Union at 3972  Campus  Dr College Park MD
2023-00012858,02/06/23 06:09,02/07/23 14:28,Dept Property Damage/Loss,Active/Pending,Seneca Building  UC Center  University Centre at 4716  Pontiac  St College Park MD
2023-00012860,02/06/23 18:00,02/07/23 14:17,Theft,Active/Pending,University Courtyard #1 at 8100  Boteler  Ln College Park MD
2023-00012861,02/07/23 14:48,02/07/23 14:48,Assist Other Agency / Check on the Welfare,Active/Pending,Archives  National Archives at 8601  Adelphi  Rd College Park MD
2023-00012927,02/07/23 19:19,02/07/23 19:34,Suspicious Activity (Title IX Related),Active/Pending,8100 block of  Baltimore  Ave College Park MD
2023-00013031,02/08/23 01:23,02/08/23 01:32,Injured/Sick Person,CBE,South Gate at 7567  Regents  Dr College Park MD
2023-00013165,02/01/23 07:00,02/08/23 14:14,Vandalism,Active/Pending,91  Chemistry  Chemistry Building at 8051  Regents  Dr College Park MD
2023-00013169,01/23/23 12:00,02/08/23 14:30,Theft,Investigation Pending,8400 block of  Boteler  Ln College Park MD
2023-00013180,02/07/23 08:00,02/08/23 15:36,Stolen Motor Vehicle,Active/Pending,Lot 6  PG4  Terrapin Trail Parking Garage  TTG at 4155  Terrapin  Trl College Park MD
2023-00013192,02/01/23 18:30,02/08/23 17:20,Stolen Motor Vehicle,Active/Pending,PG3  SDG  Stadium Drive Garage  Stadium Drive Parking Garage at 4025  Stadium  Dr College Park MD
2023-00013202,02/08/23 17:00,02/08/23 18:54,Theft,Investigation Pending,University Courtyard #2 at 8200  Boteler  Ln College Park MD
2023-00013465,02/09/23 09:00,02/09/23 09:25,Assist Other Agency / Check on the Welfare,CBE,31  Garrett  Garrett Hall at 7570  Calvert Service  Ln College Park MD
2023-00013489,02/09/23 12:02,02/09/23 12:02,Assault,CBE,Bio Psych  Biology-Psychology Building at 4094  Campus  Dr College Park MD
2023-00013543,02/09/23 17:24,02/09/23 17:24,Fire,CBE,Riggs  Riggs Alumni  Riggs Alumni Center at 7801  Alumni  Dr College Park MD
2023-00013892,02/10/23 13:24,02/10/23 13:24,Injured/Sick Person,CBE,8000 block of  Hagerstown  Dr College Park MD
2023-00013903,02/09/23 15:00,02/10/23 15:26,Stolen Motor Vehicle,Active/Pending,PG3  SDG  Stadium Drive Garage  Stadium Drive Parking Garage at 4025  Stadium  Dr College Park MD
2023-00013990,02/03/23 12:00,02/10/23 14:38,Theft,Active/Pending,Commons 3  SCC 3  South Campus Commons 3 at 4318  Knox  Rd College Park MD
2023-00013991,02/10/23 10:13,02/10/23 17:06,Other Incident,CBE,8500 block of  Boteler  Ln College Park MD
2023-00014148,02/11/23 01:30,02/11/23 01:31,Injured/Sick Person,CBE,Regents  Dr College Park MD
2023-00014158,02/11/23 01:55,02/11/23 01:55,CDS Violation,Arrest,Greenbelt  Rd College Park MD
2023-00014159,02/11/23 01:58,02/11/23 01:58,Injured/Sick Person,CBE,College Park Towers (Knox Road) at 4313  Knox  Rd College Park MD
2023-00014222,02/11/23 06:11,02/11/23 06:11,DWI/DUI,Arrest,University  Blvd College Park MD
2023-00014417,02/11/23 22:25,02/11/23 22:25,DWI/DUI,Arrest,Baltimore  Ave College Park MD
2023-00014428,02/11/23 08:30,02/11/23 22:41,Vandalism,Active/Pending,Hagerstown Hall at 8075  Hagerstown  Dr College Park MD
2023-00014441,02/11/23 23:27,02/11/23 23:27,Disorderly Conduct,Arrest,Baltimore  Ave College Park MD
2023-00014447,02/11/23 23:38,02/11/23 23:38,Injured/Sick Person,CBE,Elkton  Elkton Hall at 3981  Denton Service  Ln College Park MD
2023-00014530,02/12/23 04:50,02/12/23 04:50,DWI/DUI,Arrest,University  Blvd College Park MD
2023-00014632,02/07/23 11:00,02/12/23 16:12,Injured Officer,CBE,7  Pocomoke  Pocomoke Building  Police  UMDPS  UMPD at 7569  Baltimore  Ave College Park MD
2023-00014687,02/12/23 20:35,02/12/23 21:00,Accident,CBE,DOTS  Lot B  Lot RR  PG2  RDG  Regents Drive Parking Garage  WAM Lab at 8056  Regents  Dr College Park MD
2023-00014724,02/13/23 01:35,02/13/23 01:47,Injured/Sick Person,CBE,4600 block of  College  Ave College Park MD
2023-00014774,02/10/23 17:00,02/13/23 05:59,Damage to State Property,Active/Pending,Lot HH  PG1  ULG  Union Lane Garage  Union Lane Parking Garage at 4170  Union  Ln College Park MD
2023-00014912,02/13/23 09:55,02/13/23 12:12,Theft,Investigation Pending,Bio Psych  Biology-Psychology Building at 4094  Campus  Dr College Park MD
2023-00014949,02/08/23 07:30,02/13/23 13:58,Suspicious Activity,CBE,DOTS  Lot B  Lot RR  PG2  RDG  Regents Drive Parking Garage  WAM Lab at 8056  Regents  Dr College Park MD
2023-00014956,02/13/23 11:30,02/13/23 14:27,Theft,Active/Pending,14  Harford Hall at 7660  Regents  Dr College Park MD
2023-00014957,02/10/23 14:00,02/13/23 14:28,Theft,Active/Pending,Hagerstown Hall at 8075  Hagerstown  Dr College Park MD
2023-00014992,02/13/23 19:22,02/13/23 19:22,Indecent Exposure (Title IX Related),Arrest,Sigma Delta Tau  Sigma Delta Tau Sorority at 4516  Knox  Rd College Park MD
